transaction_id,timestamp,timestamp_unix,amount,merchant_id,customer_id,account_created_at,account_created_unix,device_id,ip_id,payment_instrument_id,location,transaction_type,label,abuse_type,ring_id,is_fraud
tx_00000020,2026-08-01T01:59:42.182164,1785529782.182164,1673.27,merch_0012,cust_000031,2025-12-21T14:56:52.388291,1766309212.388291,dev_114293,ip_75436,card_949317,Delhi NCR,payment,legitimate,none,,0
tx_00000021,2026-08-01T02:02:35.009687,1785529955.009687,1716.45,merch_0020,cust_001037,2026-01-31T10:10:08.740148,1769834408.740148,dev_518100,ip_48020,card_742082,Hyderabad,payment,legitimate,none,,0
tx_00000022,2026-08-01T02:04:15.078703,1785530055.078703,1834.56,merch_0042,cust_001454,2025-08-07T22:09:34.560924,1754584774.560924,dev_963767,ip_53943,card_173561,Chennai,payment,legitimate,none,,0
tx_00000023,2026-08-01T02:06:37.306995,1785530197.306995,1243.87,merch_0003,cust_011625,2026-02-05T16:10:51.949388,1770288051.949388,dev_971985,ip_11652,card_900587,Chennai,payment,legitimate,none,,0
tx_00000024,2026-08-01T02:08:21.839826,1785530301.839826,1496.7,merch_0040,cust_000666,2026-04-03T15:43:06.572846,1775211186.572846,dev_873100,ip_80671,card_439471,Jaipur,payment,legitimate,none,,0
tx_00000025,2026-08-01T02:10:43.269171,1785530443.269171,601.07,merch_0018,cust_006590,2025-09-30T14:23:13.331858,1759222393.331858,dev_435161,ip_25607,card_488258,Kochi,payment,legitimate,none,,0
tx_00000026,2026-08-01T02:12:21.873514,1785530541.873514,1285.62,merch_0014,cust_006030,2026-06-13T04:16:02.616603,1781304362.616603,dev_227091,ip_74065,card_794166,Ahmedabad,payment,legitimate,none,,0
tx_00000027,2026-08-01T02:13:01.395342,1785530581.395342,660.09,merch_0041,cust_004707,2026-04-14T04:23:03.478421,1776120783.478421,dev_248772,ip_40747,card_507132,Mumbai,payment,legitimate,none,,0
tx_00000028,2026-08-01T02:14:49.728420,1785530689.72842,546.59,merch_0022,cust_001808,2025-08-04T21:25:57.366834,1754322957.366834,dev_456698,ip_57879,card_170282,Ahmedabad,payment,legitimate,none,,0
tx_00000029,2026-08-01T02:15:03.215943,1785530703.215943,1860.83,merch_0014,cust_009679,2026-07-18T07:57:58.961506,1784341678.961506,dev_901071,ip_70826,card_848114,Mumbai,payment,legitimate,none,,0
tx_00000030,2026-08-01T02:19:33.109368,1785530973.109368,888.76,merch_0037,cust_005010,2025-08-13T10:56:32.960718,1755062792.960718,dev_730636,ip_45853,card_198764,Jaipur,payment,legitimate,none,,0
tx_00000031,2026-08-01T02:19:54.251776,1785530994.251776,411.45,merch_0006,cust_013544,2026-05-07T12:03:21.866721,1778135601.866721,dev_624275,ip_22794,card_127035,Delhi NCR,payment,legitimate,none,,0
tx_00000032,2026-08-01T02:22:21.274077,1785531141.274077,229.88,merch_0009,cust_006202,2026-06-19T02:18:48.270554,1781815728.270554,dev_565588,ip_93296,card_354205,Delhi NCR,payment,legitimate,none,,0
tx_00000033,2026-08-01T02:30:26.515981,1785531626.515981,188.07,merch_0047,cust_005384,2026-01-12T22:48:34.655743,1768238314.655743,dev_191310,ip_88845,card_269228,Bengaluru,payment,legitimate,none,,0
tx_00000034,2026-08-01T02:30:56.778310,1785531656.77831,515.45,merch_0005,cust_000266,2026-05-12T19:50:58.477118,1778595658.477118,dev_453043,ip_38072,card_412862,Mumbai,payment,legitimate,none,,0
tx_00000035,2026-08-01T02:34:03.571785,1785531843.571785,641.56,merch_0007,cust_003843,2026-01-05T00:31:46.979678,1767553306.979678,dev_594504,ip_79354,card_570207,Kolkata,payment,legitimate,none,,0
tx_00000036,2026-08-01T02:34:17.549906,1785531857.549906,1885.53,merch_0008,cust_014174,2026-06-22T10:46:24.276745,1782105384.276745,dev_975747,ip_12359,card_842521,Bengaluru,payment,legitimate,none,,0
tx_00000037,2026-08-01T02:40:05.586212,1785532205.586212,839.71,merch_0049,cust_011964,2026-07-12T13:12:40.633702,1783842160.633702,dev_492609,ip_90130,card_280215,Chennai,payment,legitimate,none,,0
tx_00000038,2026-08-01T02:41:20.381448,1785532280.381448,1759.58,merch_0035,cust_004676,2025-10-13T01:10:56.257321,1760298056.257321,dev_156818,ip_54125,card_620312,Jaipur,payment,legitimate,none,,0
tx_00000039,2026-08-01T02:43:23.720441,1785532403.720441,787.9,merch_0009,cust_012407,2025-11-19T12:04:22.160177,1763534062.160177,dev_971663,ip_45743,card_113214,Delhi NCR,payment,legitimate,none,,0
tx_00000040,2026-08-01T02:46:32.999895,1785532592.999895,1499.55,merch_0037,cust_005991,2025-09-21T15:30:12.573198,1758448812.573198,dev_808101,ip_59145,card_153779,Chennai,payment,legitimate,none,,0
tx_00000041,2026-08-01T02:47:17.861204,1785532637.861204,576.45,merch_0049,cust_009075,2026-07-13T21:54:48.117891,1783959888.117891,dev_705708,ip_80173,card_104949,Jaipur,payment,legitimate,none,,0
tx_00000042,2026-08-01T02:48:15.436693,1785532695.436693,480.4,merch_0027,cust_005577,2025-09-21T00:49:58.241142,1758395998.241142,dev_161412,ip_37721,card_259994,Hyderabad,payment,legitimate,none,,0
tx_00000043,2026-08-01T02:49:18.589225,1785532758.589225,775.54,merch_0037,cust_000489,2026-04-25T22:19:06.408765,1777135746.408765,dev_518312,ip_72480,card_399787,Chennai,payment,legitimate,none,,0
tx_00000044,2026-08-01T02:49:35.957596,1785532775.957596,1690.56,merch_0019,cust_004164,2026-04-16T04:19:21.506947,1776293361.506947,dev_218638,ip_84580,card_805402,Jaipur,payment,legitimate,none,,0
tx_00000045,2026-08-01T02:50:57.481512,1785532857.481512,1058.43,merch_0010,cust_004075,2026-06-18T17:59:04.022846,1781785744.022846,dev_463322,ip_58034,card_147529,Bengaluru,payment,legitimate,none,,0
tx_00000046,2026-08-01T02:53:33.131109,1785533013.131109,806.39,merch_0011,cust_003076,2026-02-13T05:28:07.220266,1770940687.220266,dev_654564,ip_53840,card_881078,Kolkata,payment,legitimate,none,,0
tx_00000047,2026-08-01T02:53:52.973225,1785533032.973225,481.59,merch_0004,cust_013132,2025-12-24T05:56:44.950841,1766536004.950841,dev_979922,ip_37398,card_305771,Kolkata,payment,legitimate,none,,0
tx_00000048,2026-08-01T02:56:20.904590,1785533180.90459,1711.77,merch_0021,cust_013641,2026-06-02T03:43:55.742215,1780352035.742215,dev_560545,ip_86593,card_134224,Hyderabad,payment,legitimate,none,,0
tx_00000049,2026-08-01T02:59:15.253412,1785533355.253412,1956.36,merch_0036,cust_004571,2025-08-08T02:10:22.072868,1754599222.072868,dev_796843,ip_42290,card_642572,Ahmedabad,payment,legitimate,none,,0
tx_00000050,2026-08-01T03:01:03.335194,1785533463.335194,454.3,merch_0017,cust_012172,2026-03-29T06:32:30.889437,1774746150.889437,dev_966151,ip_48360,card_390284,Ahmedabad,payment,legitimate,none,,0
tx_00000051,2026-08-01T03:02:26.153437,1785533546.153437,484.25,merch_0045,cust_000010,2025-10-15T01:29:26.562388,1760471966.562388,dev_224406,ip_40031,card_931666,Mumbai,payment,legitimate,none,,0
tx_00000052,2026-08-01T03:03:59.724821,1785533639.724821,720.32,merch_0028,cust_011688,2026-01-14T12:58:29.892479,1768375709.892479,dev_718271,ip_21550,card_453026,Hyderabad,payment,legitimate,none,,0
tx_00000053,2026-08-01T03:04:02.252956,1785533642.252956,974.94,merch_0014,cust_001803,2025-11-21T10:56:08.336909,1763702768.336909,dev_254499,ip_98683,card_690057,Chennai,payment,legitimate,none,,0
tx_00000054,2026-08-01T03:04:55.630844,1785533695.630844,1401.02,merch_0019,cust_009990,2026-05-17T12:02:25.272197,1778999545.272197,dev_182444,ip_63605,card_678172,Chennai,payment,legitimate,none,,0
tx_00000055,2026-08-01T03:06:56.715100,1785533816.7151,478.53,merch_0015,cust_009487,2025-08-15T21:26:03.560703,1755273363.560703,dev_874704,ip_12683,card_937489,Kolkata,payment,legitimate,none,,0
tx_00000056,2026-08-01T03:10:16.923887,1785534016.923887,797.93,merch_0005,cust_003767,2025-08-08T03:20:29.619435,1754603429.619435,dev_145882,ip_66439,card_577494,Pune,payment,legitimate,none,,0
tx_00000057,2026-08-01T03:11:57.076302,1785534117.076302,1784.94,merch_0017,cust_012162,2025-08-31T07:19:02.398016,1756604942.398016,dev_573396,ip_87978,card_423716,Kochi,payment,legitimate,none,,0
tx_00000058,2026-08-01T03:17:40.524249,1785534460.524249,703.37,merch_0019,cust_013670,2025-10-01T01:20:31.508872,1759261831.508872,dev_161591,ip_64789,card_176449,Jaipur,payment,legitimate,none,,0
tx_00000059,2026-08-01T03:18:26.014943,1785534506.014943,1218.95,merch_0000,cust_006025,2025-10-12T00:30:03.992630,1760209203.99263,dev_485026,ip_72011,card_476686,Jaipur,payment,legitimate,none,,0
tx_00000060,2026-08-01T03:19:18.804392,1785534558.804392,854.61,merch_0026,cust_004678,2026-07-15T20:16:54.592872,1784126814.592872,dev_533247,ip_11099,card_871988,Chennai,payment,legitimate,none,,0
tx_00000061,2026-08-01T03:21:24.477178,1785534684.477178,1239.29,merch_0004,cust_010552,2025-11-06T07:23:46.656395,1762394026.656395,dev_505870,ip_78536,card_318732,Bengaluru,payment,legitimate,none,,0
tx_00000062,2026-08-01T03:22:38.300037,1785534758.300037,1468.77,merch_0021,cust_007713,2025-11-19T04:45:54.671568,1763507754.671568,dev_437660,ip_56277,card_910361,Ahmedabad,payment,legitimate,none,,0
tx_00000063,2026-08-01T03:23:06.826192,1785534786.826192,1796.04,merch_0029,cust_007491,2025-09-10T07:03:57.042321,1757468037.042321,dev_431698,ip_40107,card_531201,Mumbai,payment,legitimate,none,,0
tx_00000064,2026-08-01T03:25:05.729708,1785534905.729708,1163.86,merch_0038,cust_010916,2025-09-04T20:27:09.655203,1756997829.655203,dev_146944,ip_26539,card_951704,Chennai,payment,legitimate,none,,0
tx_00000065,2026-08-01T03:25:25.326014,1785534925.326014,1720.74,merch_0004,cust_007776,2025-11-22T17:35:17.393380,1763813117.39338,dev_670025,ip_32286,card_829715,Kochi,payment,legitimate,none,,0
tx_00000066,2026-08-01T03:29:16.728948,1785535156.728948,285.25,merch_0027,cust_010564,2026-03-26T20:54:49.789711,1774538689.789711,dev_254999,ip_87295,card_588029,Bengaluru,payment,legitimate,none,,0
tx_00000067,2026-08-01T03:29:39.636233,1785535179.636233,1610.45,merch_0040,cust_003409,2025-09-13T23:01:27.941230,1757784687.94123,dev_698527,ip_20169,card_587887,Hyderabad,payment,legitimate,none,,0
tx_00000068,2026-08-01T03:31:53.734442,1785535313.734442,3134.57,merch_0040,cust_007776,2025-11-22T17:35:17.393380,1763813117.39338,dev_539835,ip_62425,card_829715,Kolkata,payment,legitimate,none,,0
tx_00000069,2026-08-01T03:33:17.892565,1785535397.892565,814.26,merch_0008,cust_003099,2026-02-24T23:52:17.412880,1771957337.41288,dev_956764,ip_79851,card_397425,Mumbai,payment,legitimate,none,,0
tx_00000070,2026-08-01T03:35:03.563241,1785535503.563241,600.78,merch_0047,cust_010564,2026-03-26T20:54:49.789711,1774538689.789711,dev_394727,ip_70085,card_588029,Hyderabad,payment,legitimate,none,,0
tx_00000071,2026-08-01T03:36:23.175620,1785535583.17562,1828.18,merch_0021,cust_004810,2026-06-05T22:53:12.640694,1780680192.640694,dev_135888,ip_81182,card_420229,Hyderabad,payment,legitimate,none,,0
tx_00000072,2026-08-01T03:37:06.049453,1785535626.049453,194.31,merch_0032,cust_011843,2026-02-13T13:00:42.421346,1770967842.421346,dev_160292,ip_35318,card_672569,Ahmedabad,payment,legitimate,none,,0
tx_00000073,2026-08-01T03:37:40.898367,1785535660.898367,637.19,merch_0038,cust_014590,2025-10-21T10:29:08.396696,1761022748.396696,dev_649171,ip_52192,card_821596,Pune,payment,legitimate,none,,0
tx_00000074,2026-08-01T03:39:30.271426,1785535770.271426,1340.97,merch_0017,cust_014427,2025-10-26T09:52:45.593376,1761452565.593376,dev_590454,ip_27053,card_162794,Kolkata,payment,legitimate,none,,0
tx_00000075,2026-08-01T03:40:38.307933,1785535838.307933,1716.04,merch_0015,cust_005861,2025-12-13T02:41:19.998179,1765573879.998179,dev_714266,ip_29838,card_851658,Bengaluru,payment,legitimate,none,,0
tx_00000076,2026-08-01T03:41:06.142190,1785535866.14219,1488.1,merch_0036,cust_003775,2026-02-06T03:45:54.143623,1770329754.143623,dev_330981,ip_87660,card_779060,Jaipur,payment,legitimate,none,,0
tx_00000077,2026-08-01T03:41:26.077564,1785535886.077564,1194.67,merch_0031,cust_014868,2026-06-04T12:14:06.436646,1780555446.436646,dev_628615,ip_84802,card_419305,Pune,payment,legitimate,none,,0
tx_00000078,2026-08-01T03:42:32.770075,1785535952.770075,497.29,merch_0026,cust_008780,2026-03-07T22:35:02.463488,1772903102.463488,dev_643225,ip_24301,card_779921,Jaipur,payment,legitimate,none,,0
tx_00000079,2026-08-01T03:42:54.774008,1785535974.774008,1380.9,merch_0047,cust_007180,2026-07-15T15:39:20.002855,1784110160.002855,dev_280125,ip_10198,card_884420,Kochi,payment,legitimate,none,,0
tx_00000080,2026-08-01T03:44:24.152863,1785536064.152863,1014.21,merch_0047,cust_006847,2025-10-17T19:47:09.172996,1760710629.172996,dev_292498,ip_32876,card_435173,Bengaluru,payment,legitimate,none,,0
tx_00000081,2026-08-01T03:45:13.680238,1785536113.680238,1866.98,merch_0027,cust_006910,2025-10-28T05:23:16.654913,1761609196.654913,dev_322805,ip_38852,card_395947,Delhi NCR,payment,legitimate,none,,0
tx_00000082,2026-08-01T03:45:49.234862,1785536149.234862,221.98,merch_0007,cust_000162,2025-12-08T21:33:44.158807,1765209824.158807,dev_826205,ip_18100,card_673323,Bengaluru,payment,legitimate,none,,0
tx_00000083,2026-08-01T03:46:40.930211,1785536200.930211,6767.943413986072,merch_0032,cust_012728,2025-10-04T23:49:44.923129,1759601984.923129,dev_unfamiliar_64647,ip_27765,card_919649,Bengaluru,payment,isolated_anomaly,none,,1
tx_00000084,2026-08-01T03:47:51.594102,1785536271.594102,929.43,merch_0042,cust_012268,2025-08-22T12:32:57.747913,1755846177.747913,dev_397549,ip_97522,card_112281,Jaipur,payment,legitimate,none,,0
tx_00000085,2026-08-01T03:48:43.994921,1785536323.994921,1520.03,merch_0005,cust_003153,2026-04-28T13:30:28.872241,1777363228.872241,dev_769738,ip_28083,card_859052,Hyderabad,payment,legitimate,none,,0
tx_00000086,2026-08-01T03:53:41.048401,1785536621.048401,1537.48,merch_0035,cust_012034,2025-11-25T15:05:44.599237,1764063344.599237,dev_728133,ip_11750,card_638289,Pune,payment,legitimate,none,,0
tx_00000087,2026-08-01T03:55:22.674840,1785536722.67484,452.41,merch_0015,cust_010564,2026-03-26T20:54:49.789711,1774538689.789711,dev_394727,ip_70085,card_588029,Hyderabad,payment,legitimate,none,,0
tx_00000088,2026-08-01T03:55:56.617067,1785536756.617067,1021.29,merch_0037,cust_010386,2026-05-10T06:12:50.487343,1778373770.487343,dev_516793,ip_10812,card_603919,Hyderabad,payment,legitimate,none,,0
tx_00000089,2026-08-01T03:56:33.036430,1785536793.03643,1907.81,merch_0025,cust_009472,2026-03-07T22:33:06.450380,1772902986.45038,dev_798690,ip_20486,card_293325,Ahmedabad,payment,legitimate,none,,0
tx_00000090,2026-08-01T03:56:40.538763,1785536800.538763,320.71,merch_0043,cust_010959,2025-12-27T19:44:17.933529,1766844857.933529,dev_945483,ip_71327,card_246244,Jaipur,payment,legitimate,none,,0
tx_00000091,2026-08-01T03:56:48.010564,1785536808.010564,2353.44,merch_0027,cust_012256,2026-06-23T20:25:11.631635,1782226511.631635,dev_340473,ip_29390,card_593298,Pune,payment,legitimate,none,,0
tx_00000092,2026-08-01T04:00:11.605603,1785537011.605603,618.61,merch_0034,cust_001425,2026-02-10T22:24:27.656127,1770742467.656127,dev_664177,ip_23204,card_872426,Kochi,payment,legitimate,none,,0
tx_00000093,2026-08-01T04:04:30.639422,1785537270.639422,538.27,merch_0031,cust_002253,2026-03-08T23:52:12.269649,1772994132.269649,dev_109047,ip_96272,card_622672,Bengaluru,payment,legitimate,none,,0
tx_00000094,2026-08-01T04:04:44.301806,1785537284.301806,777.58,merch_0023,cust_012107,2026-07-09T18:23:54.398568,1783601634.398568,dev_598510,ip_23701,card_306880,Jaipur,payment,legitimate,none,,0
tx_00000095,2026-08-01T04:05:20.076520,1785537320.07652,1033.7,merch_0040,cust_012244,2025-09-28T23:32:43.252728,1759082563.252728,dev_806099,ip_78111,card_258293,Kolkata,payment,legitimate,none,,0
tx_00000096,2026-08-01T04:11:32.576411,1785537692.576411,1451.21,merch_0018,cust_012590,2025-08-25T06:50:41.003449,1756084841.003449,dev_508275,ip_24264,card_294966,Mumbai,payment,legitimate,none,,0
tx_00000097,2026-08-01T04:15:26.063202,1785537926.063202,429.7,merch_0026,cust_000794,2025-11-10T19:23:27.174901,1762782807.174901,dev_328824,ip_24135,card_314211,Pune,payment,legitimate,none,,0
tx_00000098,2026-08-01T04:15:44.648302,1785537944.648302,590.15,merch_0005,cust_014718,2026-02-06T04:48:38.917206,1770333518.917206,dev_152842,ip_76289,card_558767,Pune,payment,legitimate,none,,0
tx_00000099,2026-08-01T04:24:25.184221,1785538465.184221,1293.92,merch_0049,cust_011314,2026-04-10T07:55:32.979081,1775787932.979081,dev_797417,ip_49223,card_970728,Hyderabad,payment,legitimate,none,,0
tx_00000100,2026-08-01T04:24:46.827836,1785538486.827836,888.11,merch_0014,cust_006738,2025-08-19T15:53:38.330547,1755599018.330547,dev_278649,ip_25933,card_943165,Mumbai,payment,legitimate,none,,0
tx_00000101,2026-08-01T04:27:14.239409,1785538634.239409,1103.71,merch_0046,cust_004339,2026-06-20T23:23:28.720098,1781978008.720098,dev_856082,ip_53089,card_707477,Kochi,payment,legitimate,none,,0
tx_00000102,2026-08-01T04:29:05.700160,1785538745.70016,1558.76,merch_0015,cust_003968,2025-08-09T11:21:46.694390,1754718706.69439,dev_376799,ip_36789,card_968920,Pune,payment,legitimate,none,,0
tx_00000103,2026-08-01T04:30:09.708619,1785538809.708619,2951.21,merch_0010,cust_012788,2026-01-04T04:05:28.818039,1767479728.818039,dev_349348,ip_58835,card_286285,Delhi NCR,payment,legitimate,none,,0
tx_00000104,2026-08-01T04:32:47.563452,1785538967.563452,631.89,merch_0044,cust_011005,2025-10-23T08:50:52.231562,1761189652.231562,dev_934812,ip_34575,card_944700,Jaipur,payment,legitimate,none,,0
tx_00000105,2026-08-01T04:33:15.056199,1785538995.056199,1475.96,merch_0018,cust_005705,2026-06-24T21:14:50.004623,1782315890.004623,dev_919606,ip_91358,card_873912,Kolkata,payment,legitimate,none,,0
tx_00000106,2026-08-01T04:34:11.243874,1785539051.243874,986.98,merch_0039,cust_010843,2026-07-01T10:49:24.300219,1782883164.300219,dev_602974,ip_46392,card_735764,Pune,payment,legitimate,none,,0
tx_00000107,2026-08-01T04:34:57.298357,1785539097.298357,448.44,merch_0006,cust_005873,2026-01-14T18:53:56.265110,1768397036.26511,dev_895438,ip_15489,card_527889,Kochi,payment,legitimate,none,,0
tx_00000108,2026-08-01T04:36:56.110357,1785539216.110357,1993.53,merch_0022,cust_002251,2026-04-08T05:37:18.196628,1775606838.196628,dev_974691,ip_15409,card_299149,Pune,payment,legitimate,none,,0
tx_00000109,2026-08-01T04:42:33.572185,1785539553.572185,643.19,merch_0005,cust_008567,2025-10-09T12:15:37.737136,1759992337.737136,dev_916173,ip_44329,card_272243,Jaipur,payment,legitimate,none,,0
tx_00000110,2026-08-01T04:42:55.813416,1785539575.813416,2002.39,merch_0046,cust_000481,2026-01-28T10:21:48.444542,1769575908.444542,dev_993930,ip_37029,card_787723,Hyderabad,payment,legitimate,none,,0
tx_00000111,2026-08-01T04:45:05.524156,1785539705.524156,847.3,merch_0011,cust_000376,2026-04-18T05:19:26.427261,1776469766.427261,dev_538449,ip_37831,card_138840,Jaipur,payment,legitimate,none,,0
tx_00000112,2026-08-01T04:45:05.935627,1785539705.935627,806.02,merch_0007,cust_011717,2025-09-07T01:51:58.835891,1757190118.835891,dev_703190,ip_34364,card_711984,Ahmedabad,payment,legitimate,none,,0
tx_00000113,2026-08-01T04:47:20.818988,1785539840.818988,397.02,merch_0020,cust_010330,2026-06-13T17:42:45.037004,1781352765.037004,dev_616133,ip_12806,card_689234,Kolkata,payment,legitimate,none,,0
tx_00000114,2026-08-01T04:48:09.637587,1785539889.637587,1088.66,merch_0009,cust_009976,2025-08-21T13:57:46.798107,1755764866.798107,dev_617069,ip_44515,card_555644,Kolkata,payment,legitimate,none,,0
tx_00000115,2026-08-01T04:49:19.459008,1785539959.459008,195.73,merch_0040,cust_011162,2025-12-06T02:42:10.561801,1764969130.561801,dev_771163,ip_16149,card_641499,Jaipur,payment,legitimate,none,,0
tx_00000116,2026-08-01T04:50:04.137368,1785540004.137368,770.19,merch_0023,cust_014603,2026-06-10T00:11:50.387927,1781030510.387927,dev_484512,ip_71487,card_892758,Mumbai,payment,legitimate,none,,0
tx_00000117,2026-08-01T04:50:39.752554,1785540039.752554,1004.53,merch_0027,cust_005258,2025-10-14T14:42:13.138007,1760433133.138007,dev_611348,ip_85524,card_530582,Ahmedabad,payment,legitimate,none,,0
tx_00000118,2026-08-01T04:51:26.150006,1785540086.150006,790.75,merch_0034,cust_011097,2026-04-05T15:06:32.566043,1775381792.566043,dev_660107,ip_55072,card_135868,Kolkata,payment,legitimate,none,,0
tx_00000119,2026-08-01T04:56:28.910175,1785540388.910175,1363.49,merch_0014,cust_013872,2026-03-02T17:52:45.918308,1772454165.918308,dev_377869,ip_92409,card_646582,Delhi NCR,payment,legitimate,none,,0
tx_00000120,2026-08-01T04:57:08.919322,1785540428.919322,359.35,merch_0030,cust_004183,2026-01-25T15:38:03.932409,1769335683.932409,dev_362866,ip_43452,card_764732,Kochi,payment,legitimate,none,,0
tx_00000121,2026-08-01T04:57:46.335597,1785540466.335597,553.6,merch_0008,cust_011655,2025-08-18T08:27:11.613248,1755485831.613248,dev_224471,ip_31191,card_412814,Bengaluru,payment,legitimate,none,,0
tx_00000122,2026-08-01T05:00:52.755369,1785540652.755369,2173.42,merch_0046,cust_001782,2026-07-05T00:19:24.899212,1783190964.899212,dev_322735,ip_60982,card_574903,Kolkata,payment,legitimate,none,,0
tx_00000123,2026-08-01T05:02:23.283067,1785540743.283067,757.67,merch_0036,cust_008606,2025-11-16T01:26:50.371572,1763236610.371572,dev_887418,ip_31374,card_468274,Pune,payment,legitimate,none,,0
tx_00000124,2026-08-01T05:05:00.416637,1785540900.416637,397.67,merch_0015,cust_001425,2026-02-10T22:24:27.656127,1770742467.656127,dev_664177,ip_23204,card_872426,Kochi,payment,legitimate,none,,0
tx_00000125,2026-08-01T05:05:23.032402,1785540923.032402,1555.99,merch_0012,cust_005288,2026-04-18T20:36:57.929626,1776524817.929626,dev_255524,ip_20248,card_723825,Bengaluru,payment,legitimate,none,,0
tx_00000126,2026-08-01T05:06:01.213333,1785540961.213333,694.45,merch_0038,cust_002508,2026-06-29T09:52:02.623659,1782706922.623659,dev_769491,ip_20918,card_224008,Chennai,payment,legitimate,none,,0
tx_00000127,2026-08-01T05:06:21.051719,1785540981.051719,1017.76,merch_0013,cust_013177,2025-10-08T07:32:30.341471,1759888950.341471,dev_180074,ip_19054,card_674671,Jaipur,payment,legitimate,none,,0
tx_00000128,2026-08-01T05:08:15.628114,1785541095.628114,892.79,merch_0035,cust_006541,2025-10-29T12:39:08.995707,1761721748.995707,dev_182664,ip_90332,card_437136,Jaipur,payment,legitimate,none,,0
